CATALOG, URL
Gilhool_2017, 'http://iopscience.iop.org/1538-3881/155/1/38/suppdata/ajaa9c7ct4_mrt.txt'
Mann_2015, 'https://arxiv.org/src/1501.01635v3/anc/Tables5_6_7.txt'
