wave,trans
1.5000011355008596,0.99828
1.5000032235069274,0.99807
1.5000054195195809,0.99742
1.5000075075375752,0.99725
1.5000097035627724,0.99689
1.5000117915926936,0.99615
1.5000138796284281,0.9963
1.500016077922331,0.9971
1.5000181637199446,0.99709
1.5000203620264043,0.99697
1.500022450085999,0.99785
1.5000245359013338,0.99839
1.5000267342264708,0.99756
1.5000288223038063,0.99688
1.5000310183914138,0.99708
1.5000331064806767,0.99705
1.5000351945757526,0.99687
1.5000373906820188,0.99697
1.5000394787890226,0.99648
1.5000416749078331,0.9955
1.5000437630267645,0.9952
1.5000458511515093,0.99489
1.5000480495391229,0.9939
1.5000501354256512,0.99374
1.5000523338258225,0.99435
1.5000544219744292,0.99394
1.500056618136995,0.99362
1.5000587062975297,0.99489
1.500060794463878,0.99586
1.500062990645103,0.99575
1.5000650788233796,0.99633
1.50006727501715,0.99704
1.5000693632073547,0.99662
1.5000714514033733,0.9968
1.5000736476158034,0.99799
1.5000757358237504,0.99805
1.5000779342989596,0.99726
1.5000800202686013,0.99732
1.5000821084942906,0.99771
1.5000843069881793,0.99808
1.5000863952258034,0.99898
1.5000885914819915,0.99933
1.5000906797315443,0.9986
1.5000927679869114,0.99851
1.50009496426176,0.99936
1.500097052529056,0.99964
1.5000992488164506,0.99935
1.5001013370956755,0.99906
1.5001035356459267,0.99868
1.5001056216867703,0.9988
1.5001077099837383,0.99982
1.50010990855267,1.0003
1.5001119946112376,0.99974
1.5001141931927284,0.9993
1.5001162815135614,0.99934
1.500118369840209,0.99943
1.5001205661900252,0.9997
1.5001226545286022,0.9999
1.500124850890965,0.99964
1.5001269392414718,0.99965
1.5001290275977928,1.0002
1.5001312239788176,1.0002
1.5001333123470681,0.99948
1.5001355109910466,0.99941
1.5001375971208206,0.99993
1.5001396855068159,1.0002
1.5001418841694756,1.0002
1.5001439703169752,1.0002
1.5001461689921949,1.0001
1.5001482574020566,1.0004
1.5001504538393917,1.0008
1.5001525422611837,1.0006
1.5001546306887903,1.0001
1.5001568271447883,0.99988
1.5001589155843251,1.0
1.500161114303354,1.0005
1.500163200504338,1.001
1.5001652889616204,1.0009
1.5001674876993318,1.0005
1.5001695739180423,1.0008
1.500171772668314,1.0006
1.500173861149464,0.99934
1.5001759473859013,0.99857
1.5001781461548558,0.99933
1.5001802346537518,0.99997
1.5001824311847267,0.99956
1.5001845196955537,0.99883
1.5001866082121955,0.99828
1.5001888047618344,0.99814
1.5001908932904076,0.99814
1.5001930921031743,0.99724
1.5001951783930993,0.99586
1.5001973772184272,0.99599
1.500199465770869,0.99754
1.500201552078522,0.99866
1.5002037509225334,0.999
1.5002058394927222,0.99926
1.5002080360986778,0.99947
1.5002101246807984,0.99961
1.5002122132687339,0.99996
1.5002144098933548,1.0002
1.5002164984932223,0.99989
1.500218697381048,0.99913
1.5002207837421913,0.99865
1.5002228723598063,0.99885
1.5002250712663168,0.99916
1.5002271576451884,0.99891
1.5002293565642608,0.9987
1.5002314452057461,0.99921
1.5002335316023465,0.99955
1.5002357305401042,0.99898
1.5002378191993373,0.99847
1.5002400158989437,0.99888
1.500242104570109,0.99959
1.5002443035329982,0.99972
1.500246389965363,0.99936
1.5002484786542771,0.99922
1.5002506776358515,0.99953
1.500252764085946,0.9997
1.500254963080083,0.99982
1.5002570517928686,1.0004
1.5002591382606925,1.0007
1.5002613372735156,1.0004
1.5002634260040502,1.0006
1.5002656227786457,1.0011
1.500267711521113,1.0004
1.5002698002693966,0.99965
1.5002719970626595,1.0005
1.500274085822876,1.0015
1.5002762848795181,1.0013
1.5002783714008392,1.0009
1.5002804601788051,1.0008
1.500282659254134,1.0006
1.5002847457931856,1.0006
1.500286944881078,1.001
1.500289033682917,1.0011
1.500291230532506,1.0008
1.5002933193462789,1.0007
1.5002954081658677,1.0005
1.500297605034125,1.0005
1.5002996938656479,1.0011
1.500301890746456,1.0012
1.5003039795899127,1.0005
1.500306068439186,1.0003
1.5003082653386626,1.0007
1.50031035419987,1.0005
1.5003125533628356,1.0002
1.5003146422359832,1.0007
1.500316728863997,1.0007
1.500318928045651,1.0004
1.5003210169365493,1.0009
1.5003232138798044,1.0012
1.5003253027826373,1.0004
1.500327391691287,0.99996
1.5003295886532113,1.0004
1.5003316775737954,1.0008
1.5003338745482717,1.0009
1.5003359634807905,1.0009
1.5003381627188332,1.0003
1.5003402494122722,0.99987
1.5003423383625423,1.0005
1.5003445376192743,1.0014
1.5003466265814858,1.0015
1.5003488235997429,1.0011
1.5003509125738892,1.0003
1.5003530015538526,0.99975
1.50035519859078,1.0
1.5003572875826785,1.0006
1.5003594846321584,1.0007
1.500361573635992,1.0009
1.5003636626456431,1.0012
1.5003658597137937,1.0009
1.5003679487353798,1.0008
1.5003701480671938,1.0011
1.500372234849605,1.0009
1.500374323888944,1.0004
1.5003765232394481,1.0002
1.5003786100395933,1.0003
1.5003808094026632,1.0005
1.50038289846588,1.0008
1.500385095590367,1.0002
1.5003871846655197,0.99871
1.5003892737464897,0.99828
1.5003914708896486,0.99954
1.5003935599825544,1.0001
1.5003957593894541,0.99968
1.5003978462431087,0.99987
1.5003999353537685,1.0004
1.5004021347793592,1.0003
1.5004042216507487,0.99997
1.5004064210889059,1.0001
1.5004085102234446,1.0002
1.5004105971125687,1.0
1.5004127965694178,0.9994
1.5004148857217106,0.99859
1.5004170829398815,0.99861
1.500419172104111,0.99971
1.5004212612741579,1.0006
1.5004234585110017,1.0004
1.5004255476929855,0.99971
1.5004277471936671,0.99921
1.5004298341363043,0.99924
1.500432033649553,0.99965
1.500434122855417,0.99981
1.5004362098157902,0.99973
1.5004384093477312,1.0
1.5004404985713504,1.0005
1.5004426958645374,1.0004
1.5004447851000937,1.0002
1.5004468743414678,1.0006
1.5004490716533285,1.001
1.5004511609066404,1.0006
1.5004533604824164,1.0001
1.5004554474963052,1.0002
1.5004575367673727,1.0001
1.500459736361842,0.99974
1.5004618233934677,0.99994
1.5004640230005049,1.0003
1.5004661122954541,1.0001
1.5004681993448166,1.0
1.5004703989705477,1.0006
1.500472488283253,1.0004
1.5004746856701345,0.99938
1.5004767749947778,0.99928
1.5004789746456522,0.99992
1.5004810617307962,1.0002
1.5004831510731962,1.0001
1.5004853507427647,1.0001
1.5004874378456465,0.99956
1.5004896375277836,0.99937
1.5004917268940663,1.0001
1.500493814014686,1.0005
1.5004960137155179,0.99984
1.500498103099558,0.99938
1.500500300561464,0.99958
1.5005023899574423,1.0001
1.5005044793592397,1.0006
1.5005066768398219,1.0008
1.500508766253558,1.0002
1.5005109659982294,0.99987
1.5005130531723712,0.99993
1.500515142603865,0.99985
1.500517342367232,0.99964
1.5005194295591124,0.99941
1.500521629335049,0.99898
1.5005237187904272,0.99885
1.5005259163273619,0.99887
1.500528005794679,0.99832
1.5005300952678153,0.99803
1.500532292823427,0.9987
1.5005343823085027,0.99857
1.5005365821282812,0.99771
1.5005386693736864,0.99803
1.500540758876521,0.99884
1.5005429587149959,0.99865
1.5005450459781409,0.99863
1.5005472458291857,0.99899
1.5005493353559058,0.99794
1.5005514226367906,0.99676
1.5005536225065326,0.99754
1.5005557120510116,0.99845
1.5005579096816564,0.99781
1.5005599992380756,0.99772
1.5005620888003144,0.99884
1.5005642864496374,0.99898
1.5005663760238162,0.99785
1.5005685759374028,0.99739
1.5005706632718157,0.99815
1.5005728631979731,0.99857
1.5005749527960386,0.99747
1.5005770401481922,0.9961
1.5005792400930476,0.99639
1.500581329708873,0.99757
1.500583527414555,0.99762
1.5005856170423213,0.99693
1.5005877066759072,0.99657
1.5005899044002684,0.9963
1.500591994045795,0.99623
1.5005941917827144,0.99653
1.5005962814401819,0.99608
1.5005983711034692,0.99509
1.5006005688590682,0.99512
1.5006026585342966,0.99559
1.500604858554269,0.99537
1.5006069482414448,0.99543
1.5006090356826132,0.99575
1.5006112357212844,0.99498
1.5006133254262215,0.99429
1.5006155232256244,0.99498
1.5006176129425028,0.99487
1.5006198107544646,0.99301
1.5006219004832846,0.99212
1.5006239902179246,0.99282
1.5006261880485667,0.99262
1.5006282777951483,0.99072
1.5006304778902417,0.98845
1.500632565396873,0.98667
1.5006346551612166,0.98606
1.50063685527501,0.98677
1.5006389450513018,0.98721
1.5006411429257505,0.98612
1.500643232713984,0.98473
1.5006453225080383,0.98412
1.500647520401168,0.98324
1.5006496102071643,0.98134
1.500651808112854,0.97948
1.500653897930792,0.97773
1.5006559877545511,0.97457
1.5006581856789223,0.97021
1.5006602755146237,0.96633
1.500662475703543,0.96205
1.5006645632991988,0.95529
1.5006667635006912,0.94703
1.5006688533602837,0.93861
1.5006709409736838,0.92894
1.5006731411938774,0.91784
1.5006752310712335,0.90769
1.5006774290519742,0.89845
1.5006795189412732,0.88726
1.5006816088363926,0.87248
1.5006838068358161,0.85517
1.5006858967428787,0.83969
1.5006880970069278,0.83244
1.5006901846738687,0.83712
1.5006922745986955,0.85001
1.5006944748814464,0.8646
1.5006965625661326,0.87629
1.5006987628614574,0.88217
1.5007008528101768,0.88139
1.5007029405126082,0.87868
1.5007051408266356,0.88116
1.5007072307931197,0.89038
1.500709428867599,0.90089
1.5007115188460267,0.90773
1.5007137191852093,0.91101
1.500715806923439,0.91127
1.5007178969196315,0.90761
1.500720097277517,0.9004
1.5007221850334929,0.89017
1.500724385403953,0.87617
1.5007264754240395,0.85854
1.5007285631977612,0.83822
1.500730763586925,0.8146
1.5007328536247768,0.78748
1.5007350517743163,0.75986
1.5007371418241124,0.73588
1.5007392318797304,0.72041
1.5007414300479545,0.71879
1.5007435201155166,0.73129
1.5007457205485406,0.75237
1.5007478083758095,0.77709
1.5007498984611378,0.80179
1.500752098912866,0.82272
1.500754186757882,0.83839
1.5007563872221856,0.8505
1.5007584773314095,0.85915
1.5007606755560123,0.86467
1.500762765677181,0.87088
1.5007648558041715,0.88054
